18:26:16.170809 START Mgen Version 5.1.1
18:26:26.171426 ON flow>4 srcPort>36633 dst>fd00:6::2/5101 
18:26:26.313473 PRAGUEINFO flow>4 window>0.142 samples>4 state>cong_avoid rtt_avg_us>23640 rtt_min_us>0 rtt_max_us>31534 cwnd>3 cwnd_min>3 cwnd_max>90 rate_avg_kbps>249.950 rate_min_kbps>100.000 rate_max_kbps>418.680 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>1 sent>2 lost>0 total_lost>0
18:26:26.417099 PRAGUEINFO flow>4 window>0.104 samples>8 state>cong_avoid rtt_avg_us>31504 rtt_min_us>31449 rtt_max_us>31544 cwnd>4 cwnd_min>3 cwnd_max>4 rate_avg_kbps>720.564 rate_min_kbps>418.680 rate_max_kbps>1073.592 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>3 sent>6 lost>0 total_lost>0
18:26:26.518809 PRAGUEINFO flow>4 window>0.102 samples>16 state>cong_avoid rtt_avg_us>31274 rtt_min_us>31187 rtt_max_us>31461 cwnd>6 cwnd_min>4 cwnd_max>6 rate_avg_kbps>1586.822 rate_min_kbps>1073.592 rate_max_kbps>2023.224 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>6 sent>14 lost>0 total_lost>0
18:26:26.620512 PRAGUEINFO flow>4 window>0.102 samples>24 state>cong_avoid rtt_avg_us>31080 rtt_min_us>31036 rtt_max_us>31187 cwnd>9 cwnd_min>6 cwnd_max>9 rate_avg_kbps>2572.378 rate_min_kbps>2023.224 rate_max_kbps>3022.224 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>9 sent>22 lost>0 total_lost>0
18:26:26.724139 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31032 rtt_min_us>31017 rtt_max_us>31058 cwnd>12 cwnd_min>9 cwnd_max>12 rate_avg_kbps>3548.487 rate_min_kbps>3022.224 rate_max_kbps>4026.720 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>9 sent>27 lost>0 total_lost>0
18:26:26.827820 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31039 rtt_min_us>31016 rtt_max_us>31058 cwnd>14 cwnd_min>12 cwnd_max>14 rate_avg_kbps>4434.892 rate_min_kbps>4026.720 rate_max_kbps>4821.264 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>9 sent>27 lost>0 total_lost>0
18:26:26.929469 PRAGUEINFO flow>4 window>0.102 samples>47 state>cong_avoid rtt_avg_us>31104 rtt_min_us>31039 rtt_max_us>31255 cwnd>17 cwnd_min>14 cwnd_max>17 rate_avg_kbps>5262.901 rate_min_kbps>4821.264 rate_max_kbps>5715.872 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>45 lost>0 total_lost>0
18:26:27.031181 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31174 rtt_min_us>31049 rtt_max_us>31371 cwnd>20 cwnd_min>17 cwnd_max>20 rate_avg_kbps>6272.231 rate_min_kbps>5715.872 rate_max_kbps>6806.416 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
18:26:27.132885 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31196 rtt_min_us>31070 rtt_max_us>31726 cwnd>23 cwnd_min>20 cwnd_max>23 rate_avg_kbps>7279.093 rate_min_kbps>6806.416 rate_max_kbps>7756.920 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
18:26:27.234595 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31128 rtt_min_us>31088 rtt_max_us>31169 cwnd>25 cwnd_min>23 cwnd_max>25 rate_avg_kbps>8172.135 rate_min_kbps>7756.920 rate_max_kbps>8575.640 alpha_avg>0.001700 alpha_min>0.000000 alpha_max>0.003676 inflight>17 sent>53 lost>0 total_lost>0
18:26:27.336292 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31118 rtt_min_us>31074 rtt_max_us>31173 cwnd>27 cwnd_min>25 cwnd_max>27 rate_avg_kbps>8972.870 rate_min_kbps>8575.640 rate_max_kbps>9363.744 alpha_avg>0.003128 alpha_min>0.002843 alpha_max>0.003448 inflight>17 sent>53 lost>0 total_lost>0
