01:55:21.123563 START Mgen Version 5.1.1
01:55:21.123916 ON flow>2001 srcPort>43429 dst>fd10:43:100::2/20000 
01:55:21.124448 CONNECT flow>2001 srcPort>43429 dst>fd10:43:100::2/20000 
01:55:21.623682 ON flow>2002 srcPort>46465 dst>fd10:43:100::2/20001 
01:55:21.624134 CONNECT flow>2002 srcPort>46465 dst>fd10:43:100::2/20001 
01:55:22.123746 ON flow>2003 srcPort>34489 dst>fd10:43:100::2/20002 
01:55:22.124187 CONNECT flow>2003 srcPort>34489 dst>fd10:43:100::2/20002 
01:55:22.623664 ON flow>2004 srcPort>35127 dst>fd10:43:100::2/20003 
01:55:22.623939 CONNECT flow>2004 srcPort>35127 dst>fd10:43:100::2/20003 
01:55:27.569769 ON flow>2200 srcPort>41345 dst>fd10:43:100::2/21000 
01:55:27.570089 CONNECT flow>2200 srcPort>41345 dst>fd10:43:100::2/21000 
01:55:27.797062 ON flow>2201 srcPort>40137 dst>fd10:43:100::2/21001 
01:55:27.797264 CONNECT flow>2201 srcPort>40137 dst>fd10:43:100::2/21001 
01:55:27.916197 ON flow>2202 srcPort>35737 dst>fd10:43:100::2/21002 
01:55:27.916484 CONNECT flow>2202 srcPort>35737 dst>fd10:43:100::2/21002 
01:55:28.954886 ON flow>2203 srcPort>35153 dst>fd10:43:100::2/21003 
01:55:28.955142 CONNECT flow>2203 srcPort>35153 dst>fd10:43:100::2/21003 
01:55:28.999253 ON flow>2204 srcPort>40129 dst>fd10:43:100::2/21004 
01:55:28.999499 CONNECT flow>2204 srcPort>40129 dst>fd10:43:100::2/21004 
01:55:29.095558 ON flow>2205 srcPort>41687 dst>fd10:43:100::2/21005 
01:55:29.095789 CONNECT flow>2205 srcPort>41687 dst>fd10:43:100::2/21005 
01:55:29.254647 ON flow>2206 srcPort>33421 dst>fd10:43:100::2/21006 
01:55:29.254893 CONNECT flow>2206 srcPort>33421 dst>fd10:43:100::2/21006 
01:55:29.273147 ON flow>2207 srcPort>39427 dst>fd10:43:100::2/21007 
01:55:29.273413 CONNECT flow>2207 srcPort>39427 dst>fd10:43:100::2/21007 
01:55:29.649395 ON flow>2208 srcPort>37285 dst>fd10:43:100::2/21008 
01:55:29.649684 CONNECT flow>2208 srcPort>37285 dst>fd10:43:100::2/21008 
01:55:29.698558 ON flow>2209 srcPort>35515 dst>fd10:43:100::2/21009 
01:55:29.698771 CONNECT flow>2209 srcPort>35515 dst>fd10:43:100::2/21009 
01:55:29.723250 ON flow>2210 srcPort>40781 dst>fd10:43:100::2/21010 
01:55:29.723510 CONNECT flow>2210 srcPort>40781 dst>fd10:43:100::2/21010 
01:55:29.776600 ON flow>2211 srcPort>33899 dst>fd10:43:100::2/21011 
01:55:29.779328 CONNECT flow>2211 srcPort>33899 dst>fd10:43:100::2/21011 
01:55:29.836949 ON flow>2212 srcPort>36299 dst>fd10:43:100::2/21012 
01:55:29.837172 CONNECT flow>2212 srcPort>36299 dst>fd10:43:100::2/21012 
01:55:31.175791 ON flow>2213 srcPort>38475 dst>fd10:43:100::2/21013 
01:55:31.176162 CONNECT flow>2213 srcPort>38475 dst>fd10:43:100::2/21013 
01:55:31.241380 ON flow>2214 srcPort>38989 dst>fd10:43:100::2/21014 
01:55:31.241680 CONNECT flow>2214 srcPort>38989 dst>fd10:43:100::2/21014 
01:55:31.325806 ON flow>2215 srcPort>34387 dst>fd10:43:100::2/21015 
01:55:31.326060 CONNECT flow>2215 srcPort>34387 dst>fd10:43:100::2/21015 
01:55:31.360536 ON flow>2216 srcPort>45575 dst>fd10:43:100::2/21016 
01:55:31.360811 CONNECT flow>2216 srcPort>45575 dst>fd10:43:100::2/21016 
01:55:31.373422 ON flow>2217 srcPort>42605 dst>fd10:43:100::2/21017 
01:55:31.373689 CONNECT flow>2217 srcPort>42605 dst>fd10:43:100::2/21017 
01:55:31.388749 ON flow>2218 srcPort>33399 dst>fd10:43:100::2/21018 
01:55:31.388996 CONNECT flow>2218 srcPort>33399 dst>fd10:43:100::2/21018 
01:55:31.488434 ON flow>2219 srcPort>36813 dst>fd10:43:100::2/21019 
01:55:31.488915 CONNECT flow>2219 srcPort>36813 dst>fd10:43:100::2/21019 
01:55:31.514526 ON flow>2220 srcPort>38903 dst>fd10:43:100::2/21020 
01:55:31.514554 ON flow>2221 srcPort>44969 dst>fd10:43:100::2/21021 
01:55:31.514743 CONNECT flow>2220 srcPort>38903 dst>fd10:43:100::2/21020 
01:55:31.514767 CONNECT flow>2221 srcPort>44969 dst>fd10:43:100::2/21021 
01:55:31.556677 ON flow>2222 srcPort>39649 dst>fd10:43:100::2/21022 
01:55:31.556907 CONNECT flow>2222 srcPort>39649 dst>fd10:43:100::2/21022 
01:55:32.369626 SHUTDOWN flow>2200 srcPort>41345 dst>fd10:43:100::2/21000 
01:55:32.370140 OFF flow>2200 srcPort>41345 dst>fd10:43:100::2/21000 
01:55:32.597027 SHUTDOWN flow>2201 srcPort>40137 dst>fd10:43:100::2/21001 
01:55:32.597479 OFF flow>2201 srcPort>40137 dst>fd10:43:100::2/21001 
01:55:32.716127 SHUTDOWN flow>2202 srcPort>35737 dst>fd10:43:100::2/21002 
01:55:32.716561 OFF flow>2202 srcPort>35737 dst>fd10:43:100::2/21002 
01:55:33.754824 SHUTDOWN flow>2203 srcPort>35153 dst>fd10:43:100::2/21003 
01:55:33.755270 OFF flow>2203 srcPort>35153 dst>fd10:43:100::2/21003 
01:55:33.799247 SHUTDOWN flow>2204 srcPort>40129 dst>fd10:43:100::2/21004 
01:55:33.799576 OFF flow>2204 srcPort>40129 dst>fd10:43:100::2/21004 
01:55:33.895523 SHUTDOWN flow>2205 srcPort>41687 dst>fd10:43:100::2/21005 
01:55:33.896180 OFF flow>2205 srcPort>41687 dst>fd10:43:100::2/21005 
01:55:33.938018 ON flow>2223 srcPort>36095 dst>fd10:43:100::2/21023 
01:55:33.938285 CONNECT flow>2223 srcPort>36095 dst>fd10:43:100::2/21023 
01:55:33.965052 ON flow>2224 srcPort>36631 dst>fd10:43:100::2/21024 
01:55:33.965284 CONNECT flow>2224 srcPort>36631 dst>fd10:43:100::2/21024 
01:55:34.054606 SHUTDOWN flow>2206 srcPort>33421 dst>fd10:43:100::2/21006 
01:55:34.055592 OFF flow>2206 srcPort>33421 dst>fd10:43:100::2/21006 
01:55:34.073146 SHUTDOWN flow>2207 srcPort>39427 dst>fd10:43:100::2/21007 
01:55:34.073445 OFF flow>2207 srcPort>39427 dst>fd10:43:100::2/21007 
01:55:34.099870 ON flow>2225 srcPort>42193 dst>fd10:43:100::2/21025 
01:55:34.100083 CONNECT flow>2225 srcPort>42193 dst>fd10:43:100::2/21025 
01:55:34.214959 ON flow>2226 srcPort>33155 dst>fd10:43:100::2/21026 
01:55:34.215182 CONNECT flow>2226 srcPort>33155 dst>fd10:43:100::2/21026 
01:55:34.215310 ON flow>2227 srcPort>43699 dst>fd10:43:100::2/21027 
01:55:34.215515 CONNECT flow>2227 srcPort>43699 dst>fd10:43:100::2/21027 
01:55:34.229521 ON flow>2228 srcPort>34407 dst>fd10:43:100::2/21028 
01:55:34.229770 CONNECT flow>2228 srcPort>34407 dst>fd10:43:100::2/21028 
01:55:34.232813 ON flow>2229 srcPort>45207 dst>fd10:43:100::2/21029 
01:55:34.233037 CONNECT flow>2229 srcPort>45207 dst>fd10:43:100::2/21029 
