01:55:17.123987 START Mgen Version 5.1.1
01:55:27.124807 ON flow>4 srcPort>60044 dst>fd00:6::2/5101 
01:55:27.266875 PRAGUEINFO flow>4 window>0.142 samples>4 state>cong_avoid rtt_avg_us>23621 rtt_min_us>0 rtt_max_us>31502 cwnd>3 cwnd_min>3 cwnd_max>90 rate_avg_kbps>250.128 rate_min_kbps>100.000 rate_max_kbps>418.816 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>1 sent>2 lost>0 total_lost>0
01:55:27.376260 PRAGUEINFO flow>4 window>0.109 samples>8 state>cong_avoid rtt_avg_us>31464 rtt_min_us>31409 rtt_max_us>31506 cwnd>3 cwnd_min>3 cwnd_max>3 rate_avg_kbps>639.822 rate_min_kbps>418.816 rate_max_kbps>940.120 alpha_avg>0.011719 alpha_min>0.000000 alpha_max>0.031250 inflight>3 sent>6 lost>0 total_lost>0
01:55:27.479869 PRAGUEINFO flow>4 window>0.104 samples>15 state>cong_avoid rtt_avg_us>31256 rtt_min_us>31154 rtt_max_us>31409 cwnd>6 cwnd_min>3 cwnd_max>6 rate_avg_kbps>1484.431 rate_min_kbps>940.120 rate_max_kbps>1959.336 alpha_avg>0.027749 alpha_min>0.025749 alpha_max>0.031250 inflight>5 sent>13 lost>0 total_lost>0
01:55:27.583519 PRAGUEINFO flow>4 window>0.104 samples>24 state>cong_avoid rtt_avg_us>31173 rtt_min_us>31113 rtt_max_us>31222 cwnd>9 cwnd_min>6 cwnd_max>9 rate_avg_kbps>2471.682 rate_min_kbps>1959.336 rate_max_kbps>2971.128 alpha_avg>0.023108 alpha_min>0.021217 alpha_max>0.025749 inflight>8 sent>22 lost>0 total_lost>0
01:55:27.687134 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31143 rtt_min_us>31092 rtt_max_us>31215 cwnd>12 cwnd_min>9 cwnd_max>12 rate_avg_kbps>3461.708 rate_min_kbps>2971.128 rate_max_kbps>3948.328 alpha_avg>0.019191 alpha_min>0.017484 alpha_max>0.021217 inflight>9 sent>27 lost>0 total_lost>0
01:55:27.790755 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31127 rtt_min_us>31067 rtt_max_us>31183 cwnd>14 cwnd_min>12 cwnd_max>14 rate_avg_kbps>4359.838 rate_min_kbps>3948.328 rate_max_kbps>4756.680 alpha_avg>0.015814 alpha_min>0.014407 alpha_max>0.017484 inflight>9 sent>27 lost>0 total_lost>0
01:55:27.892461 PRAGUEINFO flow>4 window>0.102 samples>44 state>in_cwr rtt_avg_us>31151 rtt_min_us>31083 rtt_max_us>31213 cwnd>16 cwnd_min>14 cwnd_max>17 rate_avg_kbps>5185.488 rate_min_kbps>4756.680 rate_max_kbps>5612.976 alpha_avg>0.012873 alpha_min>0.011872 alpha_max>0.014407 inflight>16 sent>42 lost>0 total_lost>0
01:55:27.994176 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31151 rtt_min_us>31056 rtt_max_us>31311 cwnd>19 cwnd_min>16 cwnd_max>19 rate_avg_kbps>6090.042 rate_min_kbps>5580.552 rate_max_kbps>6628.280 alpha_avg>0.017814 alpha_min>0.011872 alpha_max>0.021448 inflight>17 sent>53 lost>0 total_lost>0
01:55:28.095879 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31174 rtt_min_us>31096 rtt_max_us>31403 cwnd>22 cwnd_min>19 cwnd_max>22 rate_avg_kbps>7113.579 rate_min_kbps>6628.280 rate_max_kbps>7555.328 alpha_avg>0.017980 alpha_min>0.016570 alpha_max>0.020108 inflight>17 sent>53 lost>0 total_lost>0
01:55:28.197593 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31286 rtt_min_us>31169 rtt_max_us>31418 cwnd>25 cwnd_min>22 cwnd_max>25 rate_avg_kbps>7990.670 rate_min_kbps>7555.328 rate_max_kbps>8386.160 alpha_avg>0.014710 alpha_min>0.013655 alpha_max>0.016570 inflight>17 sent>53 lost>0 total_lost>0
01:55:28.299298 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31276 rtt_min_us>31151 rtt_max_us>31485 cwnd>27 cwnd_min>25 cwnd_max>27 rate_avg_kbps>8804.404 rate_min_kbps>8386.160 rate_max_kbps>9179.440 alpha_avg>0.012009 alpha_min>0.010550 alpha_max>0.013655 inflight>17 sent>53 lost>0 total_lost>0
