16:49:47.464941 START Mgen Version 5.1.1
16:49:57.465650 ON flow>4 srcPort>52209 dst>fd00:6::2/5101 
16:49:57.613491 PRAGUEINFO flow>4 window>0.148 samples>4 state>cong_avoid rtt_avg_us>26396 rtt_min_us>0 rtt_max_us>35365 cwnd>3 cwnd_min>3 cwnd_max>90 rate_avg_kbps>224.756 rate_min_kbps>100.000 rate_max_kbps>375.520 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>1 sent>2 lost>0 total_lost>0
16:49:57.724785 PRAGUEINFO flow>4 window>0.111 samples>7 state>cong_avoid rtt_avg_us>34231 rtt_min_us>33357 rtt_max_us>34853 cwnd>3 cwnd_min>3 cwnd_max>3 rate_avg_kbps>515.265 rate_min_kbps>368.264 rate_max_kbps>873.232 alpha_avg>0.043527 alpha_min>0.000000 alpha_max>0.062500 inflight>2 sent>5 lost>0 total_lost>0
16:49:57.830325 PRAGUEINFO flow>4 window>0.106 samples>14 state>cong_avoid rtt_avg_us>32565 rtt_min_us>31860 rtt_max_us>33357 cwnd>6 cwnd_min>3 cwnd_max>6 rate_avg_kbps>1314.876 rate_min_kbps>873.232 rate_max_kbps>1773.616 alpha_avg>0.053278 alpha_min>0.048280 alpha_max>0.058594 inflight>5 sent>12 lost>0 total_lost>0
16:49:57.932061 PRAGUEINFO flow>4 window>0.102 samples>22 state>cong_avoid rtt_avg_us>31427 rtt_min_us>31172 rtt_max_us>31860 cwnd>8 cwnd_min>6 cwnd_max>8 rate_avg_kbps>2312.589 rate_min_kbps>1773.616 rate_max_kbps>2780.464 alpha_avg>0.044421 alpha_min>0.039783 alpha_max>0.048280 inflight>8 sent>20 lost>0 total_lost>0
16:49:58.035658 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31214 rtt_min_us>31116 rtt_max_us>31357 cwnd>11 cwnd_min>8 cwnd_max>11 rate_avg_kbps>3292.766 rate_min_kbps>2780.464 rate_max_kbps>3807.128 alpha_avg>0.036947 alpha_min>0.032781 alpha_max>0.039783 inflight>9 sent>27 lost>0 total_lost>0
16:49:58.139320 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31131 rtt_min_us>31083 rtt_max_us>31285 cwnd>14 cwnd_min>11 cwnd_max>14 rate_avg_kbps>4233.238 rate_min_kbps>3807.128 rate_max_kbps>4617.880 alpha_avg>0.030445 alpha_min>0.027011 alpha_max>0.032781 inflight>9 sent>27 lost>0 total_lost>0
16:49:58.240988 PRAGUEINFO flow>4 window>0.102 samples>40 state>cong_avoid rtt_avg_us>31167 rtt_min_us>31105 rtt_max_us>31285 cwnd>16 cwnd_min>14 cwnd_max>16 rate_avg_kbps>5056.967 rate_min_kbps>4617.880 rate_max_kbps>5441.776 alpha_avg>0.024763 alpha_min>0.022258 alpha_max>0.027011 inflight>16 sent>38 lost>0 total_lost>0
16:49:58.342682 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31130 rtt_min_us>31054 rtt_max_us>31258 cwnd>19 cwnd_min>16 cwnd_max>19 rate_avg_kbps>6006.338 rate_min_kbps>5441.776 rate_max_kbps>6557.256 alpha_avg>0.020568 alpha_min>0.018341 alpha_max>0.022258 inflight>17 sent>53 lost>0 total_lost>0
16:49:58.444385 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31154 rtt_min_us>31084 rtt_max_us>31228 cwnd>22 cwnd_min>19 cwnd_max>22 rate_avg_kbps>7050.267 rate_min_kbps>6557.256 rate_max_kbps>7520.576 alpha_avg>0.016810 alpha_min>0.015114 alpha_max>0.018341 inflight>17 sent>53 lost>0 total_lost>0
16:49:58.546096 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31190 rtt_min_us>31123 rtt_max_us>31239 cwnd>25 cwnd_min>22 cwnd_max>25 rate_avg_kbps>7955.360 rate_min_kbps>7520.576 rate_max_kbps>8376.664 alpha_avg>0.013756 alpha_min>0.012455 alpha_max>0.015114 inflight>17 sent>53 lost>0 total_lost>0
16:49:58.647805 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31162 rtt_min_us>31100 rtt_max_us>31256 cwnd>27 cwnd_min>25 cwnd_max>27 rate_avg_kbps>8781.443 rate_min_kbps>8376.664 rate_max_kbps>9142.504 alpha_avg>0.011256 alpha_min>0.010263 alpha_max>0.012455 inflight>17 sent>53 lost>0 total_lost>0
16:49:58.749508 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31174 rtt_min_us>31107 rtt_max_us>31256 cwnd>29 cwnd_min>27 cwnd_max>29 rate_avg_kbps>9526.214 rate_min_kbps>9142.504 rate_max_kbps>9888.480 alpha_avg>0.009210 alpha_min>0.008458 alpha_max>0.010263 inflight>17 sent>53 lost>0 total_lost>0
16:49:58.851214 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31168 rtt_min_us>31110 rtt_max_us>31220 cwnd>31 cwnd_min>29 cwnd_max>31 rate_avg_kbps>10221.464 rate_min_kbps>9888.480 rate_max_kbps>10576.328 alpha_avg>0.007536 alpha_min>0.006970 alpha_max>0.008458 inflight>17 sent>53 lost>0 total_lost>0
16:49:58.952930 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31174 rtt_min_us>31078 rtt_max_us>31277 cwnd>32 cwnd_min>31 cwnd_max>32 rate_avg_kbps>10819.439 rate_min_kbps>10576.328 rate_max_kbps>11083.648 alpha_avg>0.008487 alpha_min>0.006536 alpha_max>0.012292 inflight>17 sent>53 lost>0 total_lost>0
16:49:59.054638 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31249 rtt_min_us>31150 rtt_max_us>31388 cwnd>34 cwnd_min>32 cwnd_max>34 rate_avg_kbps>11349.067 rate_min_kbps>11083.648 rate_max_kbps>11626.336 alpha_avg>0.011477 alpha_min>0.010129 alpha_max>0.012292 inflight>17 sent>53 lost>0 total_lost>0
16:49:59.156345 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31249 rtt_min_us>31138 rtt_max_us>31459 cwnd>35 cwnd_min>34 cwnd_max>35 rate_avg_kbps>11892.054 rate_min_kbps>11595.008 rate_max_kbps>12159.592 alpha_avg>0.010842 alpha_min>0.009497 alpha_max>0.012579 inflight>17 sent>53 lost>0 total_lost>0
16:49:59.258046 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31148 rtt_min_us>31082 rtt_max_us>31252 cwnd>36 cwnd_min>35 cwnd_max>36 rate_avg_kbps>12295.522 rate_min_kbps>12156.232 rate_max_kbps>12451.136 alpha_avg>0.018596 alpha_min>0.011793 alpha_max>0.026978 inflight>17 sent>53 lost>0 total_lost>0
16:49:59.359800 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31152 rtt_min_us>31030 rtt_max_us>31404 cwnd>38 cwnd_min>36 cwnd_max>38 rate_avg_kbps>12650.739 rate_min_kbps>12402.528 rate_max_kbps>12944.824 alpha_avg>0.024671 alpha_min>0.022230 alpha_max>0.026978 inflight>17 sent>53 lost>0 total_lost>0
16:49:59.461466 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31126 rtt_min_us>31034 rtt_max_us>31301 cwnd>39 cwnd_min>38 cwnd_max>39 rate_avg_kbps>13194.309 rate_min_kbps>12944.824 rate_max_kbps>13470.664 alpha_avg>0.020187 alpha_min>0.018319 alpha_max>0.022230 inflight>17 sent>53 lost>0 total_lost>0
16:49:59.563179 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31179 rtt_min_us>31080 rtt_max_us>31273 cwnd>41 cwnd_min>39 cwnd_max>41 rate_avg_kbps>13752.586 rate_min_kbps>13470.664 rate_max_kbps>14026.296 alpha_avg>0.016518 alpha_min>0.015096 alpha_max>0.018319 inflight>17 sent>53 lost>0 total_lost>0
16:49:59.664876 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31270 rtt_min_us>31159 rtt_max_us>31421 cwnd>42 cwnd_min>41 cwnd_max>42 rate_avg_kbps>14280.460 rate_min_kbps>14026.296 rate_max_kbps>14456.032 alpha_avg>0.014517 alpha_min>0.013268 alpha_max>0.016115 inflight>17 sent>53 lost>0 total_lost>0
16:49:59.765687 PRAGUEINFO flow>4 window>0.101 samples>55 state>cong_avoid rtt_avg_us>31214 rtt_min_us>31113 rtt_max_us>31323 cwnd>43 cwnd_min>42 cwnd_max>43 rate_avg_kbps>14735.288 rate_min_kbps>14456.032 rate_max_kbps>14964.168 alpha_avg>0.014324 alpha_min>0.013279 alpha_max>0.016115 inflight>16 sent>52 lost>0 total_lost>0
16:49:59.865688 PRAGUEINFO flow>4 window>0.100 samples>54 state>cong_avoid rtt_avg_us>31197 rtt_min_us>31130 rtt_max_us>31280 cwnd>45 cwnd_min>43 cwnd_max>45 rate_avg_kbps>15204.540 rate_min_kbps>14964.168 rate_max_kbps>15435.160 alpha_avg>0.011721 alpha_min>0.010260 alpha_max>0.013279 inflight>16 sent>52 lost>0 total_lost>0
16:49:59.965709 PRAGUEINFO flow>4 window>0.100 samples>54 state>cong_avoid rtt_avg_us>31259 rtt_min_us>31166 rtt_max_us>31361 cwnd>47 cwnd_min>45 cwnd_max>47 rate_avg_kbps>15735.925 rate_min_kbps>15435.160 rate_max_kbps>16036.152 alpha_avg>0.009600 alpha_min>0.008454 alpha_max>0.010260 inflight>16 sent>52 lost>0 total_lost>0
16:50:00.065947 PRAGUEINFO flow>4 window>0.100 samples>55 state>cong_avoid rtt_avg_us>31259 rtt_min_us>31169 rtt_max_us>31328 cwnd>48 cwnd_min>47 cwnd_max>48 rate_avg_kbps>16336.887 rate_min_kbps>16036.152 rate_max_kbps>16671.400 alpha_avg>0.007867 alpha_min>0.006967 alpha_max>0.008454 inflight>17 sent>53 lost>0 total_lost>0
16:50:00.167675 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31485 rtt_min_us>31242 rtt_max_us>32020 cwnd>50 cwnd_min>48 cwnd_max>50 rate_avg_kbps>16819.245 rate_min_kbps>16561.848 rate_max_kbps>17083.424 alpha_avg>0.006438 alpha_min>0.005741 alpha_max>0.006967 inflight>17 sent>53 lost>0 total_lost>0
16:50:00.269385 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31368 rtt_min_us>31183 rtt_max_us>31742 cwnd>52 cwnd_min>50 cwnd_max>52 rate_avg_kbps>17484.186 rate_min_kbps>16974.872 rate_max_kbps>17833.568 alpha_avg>0.005269 alpha_min>0.004732 alpha_max>0.005741 inflight>17 sent>53 lost>0 total_lost>0
16:50:00.371079 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31295 rtt_min_us>31181 rtt_max_us>31376 cwnd>53 cwnd_min>52 cwnd_max>53 rate_avg_kbps>18008.044 rate_min_kbps>17833.568 rate_max_kbps>18179.800 alpha_avg>0.007101 alpha_min>0.004732 alpha_max>0.008112 inflight>17 sent>53 lost>0 total_lost>0
16:50:00.472782 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31300 rtt_min_us>31219 rtt_max_us>31414 cwnd>53 cwnd_min>53 cwnd_max>53 rate_avg_kbps>18266.804 rate_min_kbps>18119.376 rate_max_kbps>18431.424 alpha_avg>0.010160 alpha_min>0.007131 alpha_max>0.012782 inflight>17 sent>53 lost>0 total_lost>0
16:50:00.574500 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31285 rtt_min_us>31170 rtt_max_us>31388 cwnd>54 cwnd_min>53 cwnd_max>54 rate_avg_kbps>18582.600 rate_min_kbps>18404.528 rate_max_kbps>18748.360 alpha_avg>0.011485 alpha_min>0.010533 alpha_max>0.012782 inflight>17 sent>53 lost>0 total_lost>0
16:50:00.676206 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31494 rtt_min_us>31259 rtt_max_us>32233 cwnd>56 cwnd_min>54 cwnd_max>56 rate_avg_kbps>18819.067 rate_min_kbps>18362.128 rate_max_kbps>19114.520 alpha_avg>0.009419 alpha_min>0.008680 alpha_max>0.010533 inflight>17 sent>53 lost>0 total_lost>0
16:50:00.777911 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31385 rtt_min_us>31192 rtt_max_us>31996 cwnd>57 cwnd_min>56 cwnd_max>57 rate_avg_kbps>19352.095 rate_min_kbps>19113.248 rate_max_kbps>19576.136 alpha_avg>0.007716 alpha_min>0.007154 alpha_max>0.008680 inflight>17 sent>53 lost>0 total_lost>0
16:50:00.879606 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31548 rtt_min_us>31302 rtt_max_us>32147 cwnd>59 cwnd_min>57 cwnd_max>59 rate_avg_kbps>19847.768 rate_min_kbps>19358.608 rate_max_kbps>20195.768 alpha_avg>0.006307 alpha_min>0.005527 alpha_max>0.007154 inflight>17 sent>53 lost>0 total_lost>0
16:50:00.981329 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31332 rtt_min_us>31163 rtt_max_us>31464 cwnd>61 cwnd_min>59 cwnd_max>61 rate_avg_kbps>20586.729 rate_min_kbps>20195.768 rate_max_kbps>20867.848 alpha_avg>0.005149 alpha_min>0.004556 alpha_max>0.005527 inflight>17 sent>53 lost>0 total_lost>0
16:50:01.083045 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31474 rtt_min_us>31305 rtt_max_us>31837 cwnd>62 cwnd_min>61 cwnd_max>62 rate_avg_kbps>21093.694 rate_min_kbps>20827.408 rate_max_kbps>21373.984 alpha_avg>0.004215 alpha_min>0.003756 alpha_max>0.004556 inflight>17 sent>53 lost>0 total_lost>0
16:50:01.184741 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31522 rtt_min_us>31264 rtt_max_us>31844 cwnd>64 cwnd_min>62 cwnd_max>64 rate_avg_kbps>21659.087 rate_min_kbps>21366.696 rate_max_kbps>22043.728 alpha_avg>0.003450 alpha_min>0.003096 alpha_max>0.003756 inflight>17 sent>53 lost>0 total_lost>0
16:50:01.286453 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31610 rtt_min_us>31344 rtt_max_us>32344 cwnd>66 cwnd_min>64 cwnd_max>66 rate_avg_kbps>22192.793 rate_min_kbps>21812.760 rate_max_kbps>22564.888 alpha_avg>0.002825 alpha_min>0.002552 alpha_max>0.003096 inflight>17 sent>53 lost>0 total_lost>0
16:50:01.388154 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31795 rtt_min_us>31476 rtt_max_us>32344 cwnd>68 cwnd_min>66 cwnd_max>68 rate_avg_kbps>22652.180 rate_min_kbps>21976.000 rate_max_kbps>23163.552 alpha_avg>0.002320 alpha_min>0.002104 alpha_max>0.002552 inflight>17 sent>53 lost>0 total_lost>0
16:50:01.489862 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31620 rtt_min_us>31411 rtt_max_us>31957 cwnd>69 cwnd_min>68 cwnd_max>69 rate_avg_kbps>23368.711 rate_min_kbps>22914.136 rate_max_kbps>23732.296 alpha_avg>0.001900 alpha_min>0.001735 alpha_max>0.002104 inflight>18 sent>53 lost>0 total_lost>0
16:50:01.591555 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31692 rtt_min_us>31382 rtt_max_us>32074 cwnd>71 cwnd_min>69 cwnd_max>71 rate_avg_kbps>23873.292 rate_min_kbps>23549.904 rate_max_kbps>24121.560 alpha_avg>0.002557 alpha_min>0.001526 alpha_max>0.005107 inflight>17 sent>53 lost>0 total_lost>0
16:50:01.693262 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31898 rtt_min_us>31550 rtt_max_us>32212 cwnd>70 cwnd_min>70 cwnd_max>71 rate_avg_kbps>23755.829 rate_min_kbps>23386.536 rate_max_kbps>24128.296 alpha_avg>0.019680 alpha_min>0.005107 alpha_max>0.024470 inflight>17 sent>53 lost>0 total_lost>0
16:50:01.794965 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31829 rtt_min_us>31481 rtt_max_us>32144 cwnd>70 cwnd_min>69 cwnd_max>70 rate_avg_kbps>23601.536 rate_min_kbps>23263.256 rate_max_kbps>24001.232 alpha_avg>0.030372 alpha_min>0.024470 alpha_max>0.031872 inflight>17 sent>53 lost>0 total_lost>0
16:50:01.896681 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31886 rtt_min_us>31541 rtt_max_us>32241 cwnd>70 cwnd_min>69 cwnd_max>70 rate_avg_kbps>23547.833 rate_min_kbps>23308.800 rate_max_kbps>23888.024 alpha_avg>0.027667 alpha_min>0.026263 alpha_max>0.029881 inflight>17 sent>53 lost>0 total_lost>0
16:50:01.998392 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31818 rtt_min_us>31516 rtt_max_us>32401 cwnd>70 cwnd_min>70 cwnd_max>70 rate_avg_kbps>23754.216 rate_min_kbps>23399.272 rate_max_kbps>23951.936 alpha_avg>0.024972 alpha_min>0.023317 alpha_max>0.028297 inflight>18 sent>53 lost>0 total_lost>0
16:50:02.100092 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31832 rtt_min_us>31527 rtt_max_us>32438 cwnd>70 cwnd_min>70 cwnd_max>71 rate_avg_kbps>23882.624 rate_min_kbps>23439.440 rate_max_kbps>24219.648 alpha_avg>0.022054 alpha_min>0.020494 alpha_max>0.028811 inflight>17 sent>53 lost>0 total_lost>0
