19:47:31.044907 START Mgen Version 5.1.1
19:47:41.045627 ON flow>4 srcPort>44347 dst>fd00:6::2/5101 
19:47:41.187733 PRAGUEINFO flow>4 window>0.142 samples>4 state>cong_avoid rtt_avg_us>23762 rtt_min_us>0 rtt_max_us>31707 cwnd>3 cwnd_min>3 cwnd_max>90 rate_avg_kbps>248.610 rate_min_kbps>100.000 rate_max_kbps>416.376 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>1 sent>2 lost>0 total_lost>0
19:47:41.291312 PRAGUEINFO flow>4 window>0.104 samples>8 state>cong_avoid rtt_avg_us>31515 rtt_min_us>31364 rtt_max_us>31632 cwnd>4 cwnd_min>3 cwnd_max>4 rate_avg_kbps>720.503 rate_min_kbps>416.376 rate_max_kbps>1076.584 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>3 sent>6 lost>0 total_lost>0
19:47:41.393015 PRAGUEINFO flow>4 window>0.102 samples>16 state>cong_avoid rtt_avg_us>31195 rtt_min_us>31067 rtt_max_us>31364 cwnd>6 cwnd_min>4 cwnd_max>6 rate_avg_kbps>1590.680 rate_min_kbps>1076.584 rate_max_kbps>2030.856 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>6 sent>14 lost>0 total_lost>0
19:47:41.496653 PRAGUEINFO flow>4 window>0.104 samples>24 state>cong_avoid rtt_avg_us>31018 rtt_min_us>30992 rtt_max_us>31067 cwnd>9 cwnd_min>6 cwnd_max>9 rate_avg_kbps>2585.016 rate_min_kbps>2030.856 rate_max_kbps>3024.152 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>9 sent>22 lost>0 total_lost>0
19:47:41.600276 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31099 rtt_min_us>30992 rtt_max_us>31181 cwnd>12 cwnd_min>9 cwnd_max>12 rate_avg_kbps>3539.105 rate_min_kbps>3024.152 rate_max_kbps>4012.784 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>9 sent>27 lost>0 total_lost>0
19:47:41.703889 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31160 rtt_min_us>31102 rtt_max_us>31268 cwnd>14 cwnd_min>12 cwnd_max>14 rate_avg_kbps>4416.501 rate_min_kbps>4012.784 rate_max_kbps>4799.696 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>9 sent>27 lost>0 total_lost>0
19:47:41.805592 PRAGUEINFO flow>4 window>0.102 samples>45 state>cong_avoid rtt_avg_us>31131 rtt_min_us>31052 rtt_max_us>31321 cwnd>17 cwnd_min>14 cwnd_max>17 rate_avg_kbps>5241.206 rate_min_kbps>4799.696 rate_max_kbps>5683.608 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>16 sent>43 lost>0 total_lost>0
19:47:41.907304 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31169 rtt_min_us>31111 rtt_max_us>31221 cwnd>20 cwnd_min>17 cwnd_max>20 rate_avg_kbps>6237.298 rate_min_kbps>5683.608 rate_max_kbps>6771.328 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
19:47:42.009017 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31087 rtt_min_us>31023 rtt_max_us>31160 cwnd>23 cwnd_min>20 cwnd_max>23 rate_avg_kbps>7269.613 rate_min_kbps>6771.328 rate_max_kbps>7750.560 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
19:47:42.110713 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31105 rtt_min_us>31027 rtt_max_us>31178 cwnd>25 cwnd_min>23 cwnd_max>25 rate_avg_kbps>8157.878 rate_min_kbps>7750.560 rate_max_kbps>8579.808 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
19:47:42.212422 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31091 rtt_min_us>31046 rtt_max_us>31143 cwnd>27 cwnd_min>25 cwnd_max>27 rate_avg_kbps>8965.782 rate_min_kbps>8579.808 rate_max_kbps>9350.440 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
