05:58:15.841374 START Mgen Version 5.1.1
05:58:25.842160 ON flow>4 srcPort>34191 dst>fd00:6::2/5101 
05:58:25.984230 PRAGUEINFO flow>4 window>0.142 samples>4 state>in_cwr rtt_avg_us>23850 rtt_min_us>0 rtt_max_us>31906 cwnd>3 cwnd_min>3 cwnd_max>90 rate_avg_kbps>201.860 rate_min_kbps>100.000 rate_max_kbps>238.688 alpha_avg>0.015625 alpha_min>0.000000 alpha_max>0.062500 inflight>1 sent>2 lost>0 total_lost>0
05:58:26.091683 PRAGUEINFO flow>4 window>0.107 samples>6 state>cong_avoid rtt_avg_us>31807 rtt_min_us>31707 rtt_max_us>31906 cwnd>3 cwnd_min>3 cwnd_max>3 rate_avg_kbps>465.584 rate_min_kbps>230.064 rate_max_kbps>760.992 alpha_avg>0.058024 alpha_min>0.054932 alpha_max>0.062500 inflight>2 sent>4 lost>0 total_lost>0
05:58:26.197226 PRAGUEINFO flow>4 window>0.106 samples>13 state>cong_avoid rtt_avg_us>31527 rtt_min_us>31419 rtt_max_us>31707 cwnd>5 cwnd_min>3 cwnd_max>5 rate_avg_kbps>1232.713 rate_min_kbps>760.992 rate_max_kbps>1650.360 alpha_avg>0.050309 alpha_min>0.045262 alpha_max>0.054932 inflight>5 sent>11 lost>0 total_lost>0
05:58:26.300873 PRAGUEINFO flow>4 window>0.104 samples>21 state>cong_avoid rtt_avg_us>31521 rtt_min_us>31354 rtt_max_us>31727 cwnd>8 cwnd_min>5 cwnd_max>8 rate_avg_kbps>2190.759 rate_min_kbps>1650.360 rate_max_kbps>2659.920 alpha_avg>0.042114 alpha_min>0.037296 alpha_max>0.045262 inflight>7 sent>19 lost>0 total_lost>0
05:58:26.404482 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31446 rtt_min_us>31282 rtt_max_us>31910 cwnd>11 cwnd_min>8 cwnd_max>11 rate_avg_kbps>3160.473 rate_min_kbps>2659.920 rate_max_kbps>3690.616 alpha_avg>0.034865 alpha_min>0.030732 alpha_max>0.037296 inflight>9 sent>27 lost>0 total_lost>0
05:58:26.508107 PRAGUEINFO flow>4 window>0.104 samples>29 state>cong_avoid rtt_avg_us>31235 rtt_min_us>31179 rtt_max_us>31298 cwnd>14 cwnd_min>11 cwnd_max>14 rate_avg_kbps>4129.899 rate_min_kbps>3690.616 rate_max_kbps>4543.360 alpha_avg>0.028728 alpha_min>0.025323 alpha_max>0.030732 inflight>9 sent>27 lost>0 total_lost>0
05:58:26.609817 PRAGUEINFO flow>4 window>0.102 samples>36 state>cong_avoid rtt_avg_us>31247 rtt_min_us>31211 rtt_max_us>31281 cwnd>16 cwnd_min>14 cwnd_max>16 rate_avg_kbps>4945.890 rate_min_kbps>4543.360 rate_max_kbps>5281.216 alpha_avg>0.023359 alpha_min>0.020867 alpha_max>0.025323 inflight>15 sent>34 lost>0 total_lost>0
05:58:26.711532 PRAGUEINFO flow>4 window>0.102 samples>54 state>cong_avoid rtt_avg_us>31193 rtt_min_us>31154 rtt_max_us>31226 cwnd>19 cwnd_min>16 cwnd_max>19 rate_avg_kbps>5843.612 rate_min_kbps>5281.216 rate_max_kbps>6390.448 alpha_avg>0.019365 alpha_min>0.017195 alpha_max>0.020867 inflight>17 sent>52 lost>0 total_lost>0
05:58:26.813232 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31191 rtt_min_us>31164 rtt_max_us>31230 cwnd>22 cwnd_min>19 cwnd_max>22 rate_avg_kbps>6895.810 rate_min_kbps>6390.448 rate_max_kbps>7383.200 alpha_avg>0.015870 alpha_min>0.014170 alpha_max>0.017195 inflight>17 sent>53 lost>0 total_lost>0
05:58:26.914941 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31211 rtt_min_us>31177 rtt_max_us>31253 cwnd>24 cwnd_min>22 cwnd_max>24 rate_avg_kbps>7820.958 rate_min_kbps>7383.200 rate_max_kbps>8259.352 alpha_avg>0.012987 alpha_min>0.011677 alpha_max>0.014170 inflight>17 sent>53 lost>0 total_lost>0
05:58:27.016643 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31217 rtt_min_us>31179 rtt_max_us>31269 cwnd>26 cwnd_min>24 cwnd_max>26 rate_avg_kbps>8649.115 rate_min_kbps>8259.352 rate_max_kbps>9036.808 alpha_avg>0.010628 alpha_min>0.009623 alpha_max>0.011677 inflight>17 sent>53 lost>0 total_lost>0
