trial,base_rtt_ms,l4s_per_stream_mbps,l4s_offered_mbps,classic_offered_mbps,l4s_cap_mbps,l4s_goodput_mbps,l4s_tx_rate_mbps,l4s_total_retrans,l4s_mean_rtt_ms,l4s_max_rtt_ms,l4s_cc,classic_goodput_mbps,classic_tx_rate_mbps,classic_total_retrans,classic_mean_rtt_ms,classic_max_rtt_ms,classic_cc,dpi2_l4s_mark_pct,dpi2_l4s_step_mark_pct,dpi2_l4s_drop_pct,dpi2_l4s_maxq_pkts,dpi2_l4s_leak_to_c_pkts,pie_cls_mark_pct,pie_cls_drop_pct,pie_cls_maxq_pkts
1,30,5,100,500,200,99.82433956757221,100.20004147071171,0,32.324299999999994,35.34105,prague,499.70102414712966,499.9147666709143,482,32.7116,34.400400000000005,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,5,100,500,200,99.82418061636729,100.20151013713797,0,32.28135,38.198699999999995,prague,499.7190034183886,499.8702524077459,713,32.7252,37.273,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,5,100,500,200,99.823238756316,100.19882413066927,0,32.357299999999995,38.6898,prague,499.73271576028594,499.9145193850974,80,33.27040000000001,46.1284,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,5,100,500,200,99.82287013370258,100.20203135269018,0,32.53085,39.09755,prague,499.7143836210168,499.9145919676232,137,32.9824,34.9354,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
5,30,5,100,500,200,99.82410959577975,100.19773363958734,0,32.179249999999996,38.6682,prague,499.71903671453555,499.9146681646995,136,32.9242,35.511799999999994,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
1,30,5,100,1000,200,99.82400137412642,100.19869731908786,99,32.62635000000001,36.09165,prague,849.5663912847622,848.9958156509197,2344,42.7472,57.502599999999994,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,5,100,1000,200,99.82348901542163,100.19948328979177,41,34.82445,44.7586,prague,830.2529492029975,824.3206274651632,2299,36.5954,53.2642,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,5,100,1000,200,99.82179809992257,100.1986792313301,108,32.5115,38.2475,prague,824.3157105203721,817.3530083397137,1416,37.6816,51.790800000000004,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,5,100,1000,200,99.82313222748289,100.19964373865429,167,32.8592,40.80200000000001,prague,844.5692653541824,845.1765131195433,1847,38.1308,54.395799999999994,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
5,30,5,100,1000,200,99.82331653941715,100.2016624717881,65,32.689350000000005,45.49825,prague,779.1757587282116,776.3182210892688,3102,32.6476,40.5424,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
1,30,9,180,500,200,176.755259082203,177.86022786246642,29,32.38335,36.392649999999996,prague,499.7185816649595,499.93783780351896,307,33.0106,38.23180000000001,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,9,180,500,200,173.35802556759833,174.74076903751242,0,32.336949999999995,36.29975,prague,499.7244416404365,499.91451400062994,312,33.028999999999996,35.0938,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,9,180,500,200,174.76524815015733,176.21050518258886,0,32.59304999999999,41.664249999999996,prague,499.7361308651983,499.91462984793066,796,32.910399999999996,38.209,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,9,180,500,200,174.18647065733495,174.74833089927213,2,32.408699999999996,37.25955,prague,499.72325132179486,499.9612302529167,85,32.991200000000006,34.6956,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
5,30,9,180,500,200,176.70152240420344,177.74335700242892,93,32.22955,38.320949999999996,prague,499.70359610246726,503.08375999972657,1422,32.487,34.2516,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
1,30,9,180,1000,200,177.43975116873412,178.86220758645544,152,33.21045,43.933499999999995,prague,772.6138188788193,771.4256176878089,1308,42.453,51.52919999999999,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,9,180,1000,200,174.6932215964716,176.1151497050568,139,34.096050000000005,45.906699999999994,prague,779.4242197521233,777.2510669434942,995,44.2204,59.5056,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,9,180,1000,200,176.71708767288058,177.6489055210254,183,33.1256,53.7127,prague,763.2164488047895,758.0503305024578,1279,37.2558,49.3864,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,9,180,1000,200,178.08619932543542,178.97950574849716,17,33.05585000000001,42.76550000000001,prague,775.0439871709955,773.4813548317632,1909,45.281200000000005,55.10979999999999,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
